Tweet ID,Conversation ID,Depth,Username,Tweet,Date,Personal Attack?
27,100009,1,kate_manne,"I agree with many of Sanders' policy positions--though he has crucial weaknesses vis-a-vis gun control, sexual assault, abortion rights, immigration, and a suspect history on mass incarceration and environmental racism. But he is less smart, flexible and accomplished than Warren.",3/11/20 19:47,neg
28,100009,2,jasonintrator,"@kate_manne In the 1990s, I was not ""woke"" to the problem. Bernie Sanders was talking about it very early on, at a time when very few were. I clearly remember thinking he was a bit extreme about it then  https://t.co/9QK3TKg82a",3/11/20 20:11,neg
29,100009,3,jasonintrator,"@kate_manne My attraction to Sanders as a candidate early on was due to the fact that once I began to realize what happened in the 1990s, I remembered his very salient comments about it, which were *way* out of the mainstream at the time.",3/11/20 20:15,neg
30,100009,4,jasonintrator,"@kate_manne You're much younger than me and weren't in this country in the 90s. The retrospective look is distorting. As James Forman has shown, the delusion wasn't confined to whites either. The panic about crime radically increased after crime started decreasing.",3/11/20 20:17,neg
31,100009,5,emilypothast,"@jasonintrator @kate_manne I appreciate him being right early on!  One thing about Bernie is that he sometimes won't mention race even when it's relevant. (My friends who preferred Warren seemed to like the ease with which she discussed race, gender, AND policies that benefit all.)   https://t.co/jlNlly4R9w",3/11/20 20:19,neg
32,100010,1,Yukon_Strong,For those wondering if #COVID19 will stop illegal immigrants from entering 🇨🇦  The answer is NO  Feel free to check out the highly instructional website on how to circumvent our entire immigration system for more info:   https://t.co/UJQ1NyJpZx  #cdnpoli #Globalism #ElectionFraud  https://t.co/KWIJTRh35R,3/16/20 19:54,neg
33,100010,2,kpac_15,@Yukon_Strong There is NO way this is real is it??   Do you have a link?,3/16/20 22:08,neg
34,100010,3,kpac_15,@Yukon_Strong Never mind. Read your tweet again 🤣🤣,3/16/20 22:08,neg
35,100011,1,ReichlinMelnick,CBP suspended enforcing the UN Protocol on Refugees and all normal immigration laws.  The EPA suspended enforcing the Environmental Protection Act.  The DOL suspended enforcing equal opportunity rules.  The administration is using the pandemic to do what they’ve wanted for years.,3/26/20 19:51,neg
36,100011,2,TomJawetz,"@ReichlinMelnick Don’t worry, Aaron. ICE is still detaining 38,000 people and proceeding with deportations whenever possible. All is not lost!",3/26/20 19:53,neg
37,100011,3,ReichlinMelnick,@TomJawetz The system is working!,3/26/20 19:53,neg
38,100012,1,InvisiblesMuros,"OK, so gained a bunch of followers. Hi guys! Just figured you should know mostly I tweet about how terrible all the governments I write about are, make bad jokes, and get yelled at by extremists. Oh and stories on immigration  Just so you know what you're signing onto here",5/1/20 19:50,neg
39,100012,2,hey_late,"@InvisiblesMuros I have one question: Did you shoot your shot with Pam, now that she's single? 😂",5/1/20 20:17,neg
40,100012,3,InvisiblesMuros,@hey_late lmao,5/1/20 20:18,neg
41,100013,1,mochjinjin,Guys! Do you still know her? Hahaha it's Sera from The Immigration😂💜  https://t.co/H9EqFNb2Ks,5/6/20 19:48,neg
42,100013,2,LilRockyPebble,@mochjinjin seRA helLO 😂,5/6/20 19:49,neg
43,100013,3,mochjinjin,@LilRockyPebble OMG MYUNGJUN HOW TO UNHEAR THIS HAHAHAHAHAHHA DHDHHSJSJA,5/6/20 19:50,neg
44,100013,4,LilRockyPebble,@mochjinjin As soon you said “Sera” I couldn’t stop unhearing his voice😂,5/6/20 19:57,neg
45,100014,1,MayorAdler,"Free online self-assessments are available if you’re experiencing symptoms &amp; need to be screened for a  test. Info collected is for medical purposes only, is only shared to provide medical services &amp; no one will ask about immigration status:  https://t.co/OEAAjRxQUU (4/5)  https://t.co/npbQI8YX6I",5/26/20 19:49,neg
46,100014,2,Justica4all,@MayorAdler What about the homeless camps plz address them,5/26/20 20:08,neg
47,100014,3,wherescompost,@Justica4all @MayorAdler plz let them stay in unused hotels **,5/26/20 20:23,neg
48,100015,1,cchukudebelu,"It is not just that Nigerians within Nigeria cannot organise themselves as Nigerians (not as members of a sub group) to achieve common good;  Nigerians abroad can't even organise themselves. Trump has suspended immigration from Nigeria, what will they do about it? Nothing.",6/1/20 19:41,neg
49,100015,2,AholiabBezaleel,"@cchukudebelu Nigerians are deeply individualist, from what I’ve seen. The concept of collective struggle doesn’t sit well with them for some reason.",6/1/20 19:43,neg
50,100015,3,lanrey_yahya,@AholiabBezaleel @cchukudebelu That's because we don't even know yet what it means to be Nigerian.,6/1/20 20:08,neg
51,100015,4,DeaEldine,@lanrey_yahaya @AholiabBezaleel @cchukudebelu One of its reasons? Lack of Trust.,6/1/20 20:18,neg
52,100015,5,lanrey_yahya,"@DeaEldine @AholiabBezaleel @cchukudebelu Yeah. That's a problem. But the bigger one is, there is no national identity.",6/1/20 20:21,neg
53,100015,6,DeaEldine,"@lanrey_yahaya @AholiabBezaleel @cchukudebelu What other identity do you need? There's the Naira, our international passport, the Coat of Arm etc.  That is the the rubbish taught in Schools (Social Studies/Civic Education) as our identity. When you talk about Core Values, they'd chant 'Peace, Unity, Progress, blah blah",6/1/20 20:32,neg
54,100015,7,lanrey_yahya,@DeaEldine @AholiabBezaleel @cchukudebelu Yes.. And that's a problem...,6/2/20 6:24,neg
55,100016,1,ToriNicksWho,Folks gonna be mad af when the immigration conversation comes back around &amp; they find out how negatively illegal immigrants effect black communities.,6/6/20 19:40,neg
56,100016,2,bleugreenaura,"@ToriNicksWho One of my friends (a Philosophy PhD) just submitted a research paper for publishing on how detrimental giving amnesty to illegal Latino immigrants is to the Black community. Wish I could say more but, POINTS WERE MADE. It’s proven they align themselves w whiteness.",6/6/20 20:59,neg
57,100016,3,ToriNicksWho,"@still_bleu If there’s any way I could read that, send it my way. I don’t care if it’s in 5 years LOL",6/6/20 21:13,neg
58,100016,4,__osbaldo_,@ToriNicksWho Ive worked both roofing and drywall. Majority of the people working that is Mexicans and central americans. It's RARE to see anyone else doing that work. Never said we were the only ones with that skill. If anyone wants to work that the doors are open for em,6/6/20 21:14,neg
59,100016,5,ToriNicksWho,@__osbaldo_ my real point is... even where you live.. illegal immigrants even take jobs from Latinx American communities who work in construction bc a lot gon companies would rather pay illegal immigrants under wages ... if we’re talking Economics,6/6/20 21:17,neg
60,100016,6,bleugreenaura,@ToriNicksWho Will definitely share as soon as he gives me the green light.,6/6/20 21:21,neg
61,100016,7,EnterGalactic_,@still_bleu @ToriNicksWho Commenting so hopefully I can be included when you share lol,6/6/20 22:18,neg
62,100016,8,isagiggles,@EnterGalactic_ @still_bleu @ToriNicksWho Same here 😅,6/6/20 23:41,neg
63,100016,9,dimeloimmy,@isagiggles @EnterGalactic_ @still_bleu @ToriNicksWho me too!!,6/7/20 1:57,neg
64,100016,10,_gem___,@dimeloimmy @isagiggles @EnterGalactic_ @still_bleu @ToriNicksWho me three 🤚,6/7/20 5:08,neg
65,100016,11,BeeKayChica,@_gem___ @dimeloimmy @isagiggles @EnterGalactic_ @still_bleu @ToriNicksWho I too would like to read this paper.,6/7/20 5:44,neg
66,100016,12,xxtasiis,@BeeKayChica @_gem___ @dimeloimmy @isagiggles @EnterGalactic_ @still_bleu @ToriNicksWho Me too!,6/7/20 16:48,neg
67,100017,1,ReichlinMelnick,All you need to know about how little an immigration ban has to do with unemployment is that they want to ban legal immigration by 5-year-olds and elderly grandmas in the name of “protecting American workers.”,6/16/20 19:45,neg
68,100017,2,HMAesq,@ReichlinMelnick What she say? I'm blocked.,6/16/20 20:27,neg
69,100017,3,ReichlinMelnick,@HMAesq Retweeted an article about Georgia’s GOP planning to send a letter to Trump asking for a full ban on all immigration of every kind.,6/16/20 22:44,neg
70,100017,4,gabriel_gmaraes,"@ReichlinMelnick Latest reports say inflation is sinking to dangerous low, &amp; these fools defy every economist’s advice. If Trump really wants to fix economy: declare an « emergency » suspension of all immigration bans, let every immigrant out of detention &amp; expedite work permits for all. Done.",6/16/20 23:02,neg
71,100018,1,dailykos,"Trump's latest attack on immigration will suspend H-1B, other work visas until end of year  https://t.co/SjO9PRrCzA",6/21/20 19:36,neg
72,100018,2,josquin1,@dailykos well that oughta tank the seafood industry in MD &amp; VA.,6/22/20 8:00,neg
73,100018,3,josquin1,@dailykos or is that another program he’s ruined the last 3 yrs?,6/22/20 8:05,neg
74,100019,1,MKarlDawes,@afneil My sentiments exactly . My opinion on this subject is complex and not really a twitter level debate frankly but I don’t want to hear anything on immigration or asylum from an ice cream company,8/11/20 19:55,neg
75,100019,2,Tim_Lill,"@MKarlDawes Somehow, I don't think they'll take notice of what you say Michael.",8/12/20 3:54,neg
76,100019,3,DanieleLondon,@Tim_Lill @MKarlDawes Let’s hope that people will boycott them and you’ll see how they care about what Michael has to say.,8/12/20 4:35,neg
77,100019,4,zzapski,"@DanieleLondon @Tim_Lill @MKarlDawes OOh, this is the shut down culture I've read so much about.  They've made a point of being progressive old hippies for decades in a country thats a monument to capitalisum and consumerisum, if this statement is a surprise you weren't a customer or taking notice.",8/12/20 4:55,neg
600,100020,1,Murky__Meg,Why? Why delay? It makes no sense! They wanted out so they should be out! Just like brexit........ seal the deal and get it done!  https://t.co/CScULGn0Yt,12/26/20 18:56,neg
601,100020,2,marshav14,@Murky__Meg I wonder what the British public would think of the Royal Family if they gave into an extension? 🤔🧐,12/26/20 19:51,neg
602,100020,3,AmbridgeOrganic,"@marshav14 @Murky__Meg I say let them keep titles, remove patronages and @queenscomtrust and @RoyalMarines roles and the gag order on the press... Let the media run with the stories.... As she says she's such a fraud.... Let the games begin",12/26/20 20:17,neg
603,100020,4,Madamdefa,"@AmbridgeOrganic @Murky__Meg @RoyalMarines No, which is why this speculation is nonsense. They quit and the posts need to be filled asap.",12/26/20 20:26,neg
604,100021,1,PaulEDawson,A global group of 415 investors managing $32 trillion in assets are warning that ignoring action against climate change could cause permanent economic damage up to four times the size of the 2008 financial crisis.  #ActOnClimate #KeepItInTheGround  https://t.co/KyGsuxwhhb,1/1/20 18:59,neg
605,100021,2,sregoczei,@PaulEDawson Climate change presents A tremendous business opportunity.   Rebuilding coastal cities Further inland Will be the greatest real estate boom In the history of humanity.,1/2/20 0:55,neg
606,100021,3,GaryLoew,"@sregoczei @PaulEDawson I agree. OTOH, someone’s gotta pay for all this. I know... just borrow more from our grandkids’ future as no debt will ever be paid back. Still, who will keep buying the debt will at some point become problematic.",1/2/20 1:05,neg
607,100021,4,sjarldekool,"@GaryLoew @sregoczei @PaulEDawson Debt wasn't supposed to be paid back. It it was, interest would not exist.",1/2/20 1:21,neg
608,100021,5,GaryLoew,@sjarldekool @sregoczei @PaulEDawson So the sole purpose of the maturity date is to keep underwriters employed? Why not issue perpetuities?,1/2/20 1:24,neg
609,100021,6,sjarldekool,"@GaryLoew @sregoczei @PaulEDawson Not sure about specifics, but fundamentally debt is nothing but a balance sheet abstraction of human labor. And the purpose of interest is to keep previous, current and future generations on the leash.",1/2/20 1:51,neg
610,100021,7,sregoczei,"@sjarldekool @GaryLoew @PaulEDawson Interesting. This tells me That you never worked as a salesman  Once you work as a salesman, You begin to understand the world A bit better  Human labour (your term) Is worthless Until a salesman sells it And thereby turns it into money.  Examples: Dishwashing. Changing diapers.",1/3/20 16:15,neg
611,100021,8,sjarldekool,@sregoczei @GaryLoew @PaulEDawson I was talking about money creation. 98%  of our money supply is created as credit when banks issue loans. Loans are nothing but promissory notes (to perform labour to repay the loan) signed by borrower in return of fictitious credit (the debt's imaginary counterpart).,1/3/20 16:21,neg
612,100022,1,ThisIsGwyneth,"Today's most weird statement that left me scratching my head... ""We don't need to arrest aronists it is going to burn with climate change anyway.""",1/6/20 18:56,neg
613,100022,2,fitzy_online,@ThisIsGwyneth That’s why Albanese and labour will never get the blue collar votes because there green through and through and will only have a minority in parliament because they keep blaming climate change!! We have an arson emergency not a climate emergency. But labour will never budge..,1/6/20 19:47,neg
614,100022,3,Tex_of_Tassie,@fitzy_online @ThisIsGwyneth We also have a lack of hazard reduction emergency!,1/6/20 22:03,neg
615,100023,1,lisastark351,"It’s snowing in Texas and we had thunderstorms in Michigan last night.   But, yeah...Climate change is a hoax",1/11/20 18:55,neg
616,100023,2,scootdogster,@lisastark351 Down I-69 a ways it’s windy AF,1/11/20 18:56,neg
617,100023,3,lisastark351,@scootdogster It was really windy here last night. Seems to have calmed down a lot now.,1/11/20 18:58,neg
618,100024,1,guardianeco,David Attenborough calls Australia's bushfires 'the moment of crisis' to address climate change  https://t.co/YZhgAOXqRZ,1/16/20 18:56,neg
619,100024,2,MarleyButler5,@guardianeco He is a delusional misguided fool  ... check out @EcoSenseNow posts,1/16/20 19:16,pos
620,100024,3,AdamMac94561276,"@MarleyButler5 @guardianeco @EcoSenseNow Once, when asked to elaborate on one of his documentaries, his response was ""I'm just the narrator""",1/16/20 21:16,neg
621,100024,4,Tom_Red89,"@AdamMac94561276 @MarleyButler5 @guardianeco @EcoSenseNow Source on that one, big mac?",1/16/20 21:59,neg
622,100025,1,EVERALDATLARGE,Extraordinary that 3 Conservative Prime Ministers of UK - #Cameron #May #Johnson - progressively implemented #climatechange legislation to commit UK to zero emissions yet Australian #Conservatives violently oppose it. Can someone give me a sane explanation of the difference?,2/6/20 18:51,neg
623,100025,2,JonesHowdareyou,@EVERALDATLARGE They've already dug up and burnt the little bit of coal they had.,2/6/20 18:54,neg
624,100025,3,PeterMcNamara01,@Triplejay58 @EVERALDATLARGE Easy answer EC. Fossil fuel industry is a major donor to both parties.,2/7/20 7:38,neg
625,100026,1,cdgarlock,"@disco_socialist @prd_perspective @subtlerbutler @TallgirlBigcity @rebeccanagle @originalspin @ewarren Yes, I think compared to widespread corruption of our economy, government, climate change, the crumbling of our democratic foundations, a good faith misunderstanding of Native American ancestry is minor. Native American rights are important, yes, but are separate from this",2/26/20 18:55,neg
626,100026,2,SarcasmToSpare,"@cdgarlock Keep repeating that first line and maybe you’ll get people to agree with you.  Won’t make you suck any less, though.",2/27/20 0:59,pos
627,100026,3,cdgarlock,@SarcasmToSpare I wont suck any less for getting people to see reality? Dunno,2/27/20 1:01,neg
628,100026,4,SarcasmToSpare,@cdgarlock You clearly live in your own reality.,2/27/20 1:06,pos
629,100027,1,PattyArquette,@Edgar98598762 @DunnBAD @goodasnew @ProudResister Do democrats or Republicans want to raise hourly wages? Do D or R want everyone to have access to healthcare? Do  D or R wantvwonen to have a right to get a safe abortion? Do D or R believe in Climate Change?,3/11/20 19:57,neg
630,100027,2,ProudSocialist,"@PattyArquette I will vote for Biden, but he has to EARN my vote and give concessions to progressives in his platform.",3/11/20 12:47,neg
631,100027,3,Julie__Falcon,"@ProudResister Are Bernie supporters going to base their vote on internet meanies, or things like the environment, the supreme court, civil liberties, kids in cages?",3/11/20 12:47,neg
632,100028,1,benigma2017,Are they gonna have climate change drills where they hide under the desk like we had when I was a kid and we were worried about nuclear attack?,4/1/20 19:54,neg
633,100028,2,leftymathprof,"@benigma2017 Very similar, yes. Your desk would not have protected you from a nuclear blast and it won't protect you from crop failure either.",4/1/20 19:56,neg
634,100028,3,benigma2017,@leftymathprof It was nice to think they had a plan though.  Even if the plan was futile and idiotic.,4/1/20 19:56,neg
635,100029,1,GeraldKutney,"Trolls do have an usual take on ""science,"" but lots of proof that climate denial is a lost cause.  - #climatecrisis #climatechange  https://t.co/6APFxNkfVD",4/6/20 19:46,neg
636,100029,2,ScienceNotDogma,"@GeraldKutney I'm sorry to see Pierre come to this, Gerald.  He used to be a follower of mine, but from what I can see, fell deep into his own opinions about how climate science works. I had to Block him, which was rather painful to do.  He's another #DenialMachine victim, lost in delusions.😔",4/6/20 20:08,neg
637,100029,3,DanCady,"@ScienceNotDogma @GeraldKutney Pierre, alas, has stepped off the deep end. I keep him on mute. He's invasive.",4/6/20 20:28,neg
638,100030,1,GeraldKutney,"The ""scientific"" knowledge of climate deniers is impossible to describe... but, but , but... more proof that climate denial is a lost cause.  - #climatechange #climatecrisis  https://t.co/MFrA3TFZSZ",4/11/20 19:56,neg
639,100030,2,cco8226,@GeraldKutney Scoentific knowledge of climate doomers is impossible to describe. Case in point the science that predicted the Artic would be ice free in summer 2013.,4/11/20 22:47,neg
640,100030,3,icandosocanu,@cco8226 @GeraldKutney Source? I’ve heard his rattled so many times never a single source.    https://t.co/D64KNVublo   https://t.co/E5970m86Gk   https://t.co/k7diYvt6Qu   https://t.co/2pD1r958Jo   https://t.co/27wXspS11E   https://t.co/Gh32QiogpA   https://t.co/CSsibeIZFN,4/12/20 3:04,neg
641,100031,1,BWestbrookAZ8,I've looked at this recent picture of Los Angeles a lot lately. A better world with good air quality is possible with the collapse of big oil. Now is the time to invest in green energy! Let’s build a green infrastructure to combat climate change and create good-paying union jobs.  https://t.co/i69bcwQ3gC,4/21/20 19:51,neg
642,100031,2,vasquezdulce,@BWestbrookAZ8 Do you know who took this picture?,4/22/20 16:43,neg
643,100031,3,BWestbrookAZ8,@vasquezdulce I don’t my friend @fightdenial shared it on Facebook a few weeks ago.,4/22/20 19:45,neg
644,100031,4,fightdenial,"@BWestbrookAZ8 @vasquezdulce I couldn’t find the original photographer, but I think I saw it first on a City of Los Angeles post. Maybe a Councilmember or staffer?",4/22/20 20:22,neg
645,100032,1,ElaineEDO,"“Climate scientists, activists and the investors who align with them now view gas in the same light as they view coal: as a dangerous greenhouse emitter that has no place in the economy of a world determined to avoid the worst impacts of climate change.”  https://t.co/irtLliYM2e",5/1/20 19:58,neg
646,100032,2,NWPAdvocacy,"@ElaineEDO Read our Report based on 1,000 well readings in Pilliga. Santos’ Narrabri Gas Project GHG emissions nearly on par with coal. Coal seam gas is not the transitional fuel industry claims. So why is @RobStokesMP nursing this losing project along? #Narrabri   https://t.co/r0wfxG7K9O",5/3/20 20:00,neg
647,100032,3,NWPAdvocacy,"@ElaineEDO @RobStokesMP Challenged about the high C02 data, not previously disclosed to #ASX or NSW Govt, Santos Chair Keith Spence made some further damaging statements at $STO AGM which are incorrect.Response to Santos is HERE-  https://t.co/tavWk50qkv #Narrabri @SffRoy",5/3/20 20:06,neg
648,100033,1,TimRunsHisMouth,First climate change... then coronavirus... what will the left make 17-yr-old high school drop out Greta Thunberg an expert in next?,5/16/20 19:48,neg
649,100033,2,BookstoreThor,@TimRunsHisMouth Education crisis because of all the homeschooling.,5/16/20 19:49,neg
650,100033,3,CigarDaddyMike,@BookstoreThor @TimRunsHisMouth Education crisis because of the failed public education system.  The public education system has become a cesspool of Liberal/Socialist/Communist indoctrination.,5/16/20 21:28,neg
651,100034,1,tweettruth2me,"@defundNPRnow He said they banned it, but he had some left. I got a bump. We talked about how climate Change is a scam.",6/16/20 19:48,neg
652,100034,2,genelobbe5,@tweettruth2me Was he a soy boy?,6/16/20 19:49,neg
653,100034,3,tweettruth2me,@genelobbe5 Heck no.,6/16/20 19:49,neg
654,100034,4,11Dtom11,@tweettruth2me Haha I think I bug people at work with the same stuff. I don’t understand how people would rather act like nothing ever happens.,6/16/20 19:50,neg
655,100035,1,DarkMatter2525,"@patriotic_pete1 Ah yes, lend power to the side that denies evolution and climate change because I don't want to promote ""anti-science"" rhetoric. Makes perfect sense.",7/21/20 19:58,neg
656,100035,2,patrioticpete_1,@DarkMatter2525 Claiming men can get pregnant is a good starter. Not to mention advocatong kids having the right to take puberty blockers when they can’t even say their ABC’s because “tolerance”,7/21/20 20:28,neg
657,100035,3,DarkMatter2525,@patriotic_pete1 Why would anyone be worried about toddlers starting puberty? Are you sure you're even familiar with these issues? These concerns of yours are no where near the existential threats I'm talking about. Maybe you should adjust your priorities.,7/21/20 20:42,neg
658,100036,1,jillpineau,What are your favorite workshop activities for teens? We’re talking about food systems and climate change 😎,7/26/20 19:45,neg
659,100036,2,babydoufu,@jillpineau basic anti-o + personal narrative workshop (a reflection around what experience radicalized you and available on google i believe!),7/27/20 7:52,neg
660,100036,3,jillpineau,"@babydoufu Oh sweet, I have basic anti-o throughout but I haven’t heard of personal narrative!!",7/27/20 9:49,neg
661,100037,1,KHayhoe,"Whoa I did NOT expect this to be quite so popular (thanks @MargaretAtwood!) but am delighted to have shared video + content w 163 colleagues from Kyrgyzstan to Rwanda, Bolivia to the Netherlands as a result! Climate change affects us all &amp; only by working together will we fix it!",8/11/20 19:49,neg
662,100037,2,Prof_FSultana,"@KHayhoe That’s wonderful to hear! I only know of the very-famous-one-turned-into-TV-show (which was great, I read the book when I was a teenager). Which one would you recommend that has a strong climate theme?",8/11/20 20:31,neg
663,100037,3,KHayhoe,@Prof_FSultana the MaddAddam trilogy!,8/11/20 20:32,neg
664,100037,4,Prof_FSultana,"@KHayhoe Ooh, cool, thanks! :)",8/11/20 20:33,neg
665,100038,1,NateAcreman1,"@EdroDrizzo I say that for one you absolutely need those who are climate change skeptics on your side and also because there has been a lot of use of fear mongering tactics to try to force changes pertaining to climate change, which will only create more resistance.",8/21/20 19:48,neg
666,100038,2,EdroDrizzo,"@NateAcreman1 I agree with you, and I'm working on being more inclusive in my speech, but let's be honest, when people deny the obvious facts and overwhelming evidence, you can't appeal to their other senses. They don't want to hear anything that doesn't fit their narrative.",8/22/20 13:37,neg
667,100038,3,EdroDrizzo,"@NateAcreman1 I don't even want to be mean toward anyone, I'm just stating the obvious. How can we make any progress when we can't even agree on the basic facts? I'm making an effort to reach across the aisle, but others have to be willing to come together around some basic principles...",8/22/20 14:10,neg
668,100038,4,EdroDrizzo,"@NateAcreman1 We could start with American values. I don't think we even agree on what America is all about. I'm interested in solutions, not just the excuses for not doing anything.",8/22/20 14:12,neg
669,100039,1,ianbassin,"Over the next 5 years, a lot of people with the means to do so are going to leave California. Not because of its governance or politics, but because of climate change, which our nation and world have failed to address.  Hard to fathom the changes to come and their repercussions.",9/6/20 19:57,neg
670,100039,2,BabiesFree,"@ianbassin And where are they going to go? Iowa, Louisiana, AZ, TX, FL? Climate change is everywhere.",9/6/20 20:11,neg
671,100039,3,BrotoGP,"@BabiesFree @ianbassin Ca and the gulf coast will move north. Washington, Idaho, etc, should prepare NOW. People will be moving en Masse as infrastructure in Aforementioned areas stops being reliable (power, levies, etc)",9/6/20 23:31,neg
672,100040,1,KVLE,Astronauts endure weeks of microgravity and radiation due to space travel which can also trigger a dormant virus. Now I could be completely off... but wouldn't that be the same increased radiation we're all exposed to because of climate change?,9/21/20 19:54,neg
673,100040,2,TyotoRiffle,@KVLE That space travel can trigger dormant viruses,9/21/20 20:10,neg
674,100040,3,KVLE,@TyotoRiffle NASA  https://t.co/pWpamfo1OQ,9/21/20 20:12,neg
675,100040,4,OGxTP,@KVLE 🤣🤣🤣,9/21/20 20:14,neg
676,100041,1,essenviews,"By destroying climate change policies, Trump will kill more people than any politician in history.",10/11/20 19:55,neg
